time,latitude,longitude,elevation
1704561015,39.621451,-106.369849,2932.8
1704561016,39.621401,-106.36984,2933.9
1704561017,39.621358,-106.369833,2934.9
1704561018,39.621318,-106.369819,2935.8
1704561019,39.621289,-106.369819,2936.4
1704561020,39.621254,-106.369806,2937.2
1704561021,39.621241,-106.369803,2937.5
1704561022,39.621222,-106.369795,2937.9
1704561023,39.621214,-106.36979,2938.1
1704561024,39.621206,-106.369786,2938.3
1704561025,39.621192,-106.369792,2938.6
1704561026,39.621185,-106.36979,2938.8
1704561027,39.621177,-106.369788,2939.0
1704561028,39.621169,-106.369787,2939.1
1704561029,39.621155,-106.369787,2939.4
1704561030,39.62114,-106.369786,2939.8
1704561031,39.621109,-106.369768,2940.5
1704561032,39.621079,-106.369766,2941.2
1704561033,39.621068,-106.369772,2941.5
1704561034,39.621052,-106.36976,2941.9
1704561035,39.621036,-106.369751,2942.3
1704561036,39.620996,-106.369732,2943.3
1704561037,39.620981,-106.369725,2943.6
1704561038,39.620947,-106.369725,2944.4
1704561039,39.620932,-106.369723,2944.8
1704561040,39.620892,-106.369713,2945.7
1704561041,39.620879,-106.36971,2946.1
1704561042,39.620851,-106.369707,2946.7
1704561043,39.620823,-106.369704,2947.4
1704561044,39.620784,-106.369691,2948.4
1704561045,39.620748,-106.369687,2949.3
1704561046,39.620713,-106.369689,2950.1
1704561047,39.62066,-106.36965,2951.7
1704561048,39.620615,-106.369652,2952.8
1704561049,39.620578,-106.369651,2953.8
1704561050,39.620537,-106.369645,2954.8
1704561051,39.620488,-106.369642,2956.1
1704561052,39.620445,-106.369641,2957.2
1704561053,39.6204,-106.369628,2958.4
1704561054,39.620364,-106.369606,2959.4
1704561055,39.62031,-106.369591,2961.0
1704561056,39.620254,-106.369582,2962.6
1704561057,39.620207,-106.369571,2964.1
1704561058,39.62016,-106.369572,2965.6
1704561059,39.620112,-106.369562,2967.1
1704561060,39.620063,-106.369546,2968.7
1704561061,39.620012,-106.369534,2970.3
1704561062,39.619962,-106.369531,2971.8
1704561063,39.619916,-106.369515,2973.2
1704561064,39.619869,-106.36951,2974.5
1704561065,39.619814,-106.369495,2976.0
1704561066,39.619758,-106.36948,2977.5
1704561067,39.619705,-106.369469,2978.8
1704561068,39.61966,-106.369459,2979.9
1704561069,39.619604,-106.369447,2981.3
1704561070,39.61955,-106.369434,2982.7
1704561071,39.619502,-106.369425,2983.9
1704561072,39.619451,-106.369414,2985.2
1704561073,39.619395,-106.369402,2986.6
1704561074,39.61935,-106.369393,2987.8
1704561075,39.619301,-106.369391,2989.0
1704561076,39.61925,-106.369379,2990.3
1704561077,39.619205,-106.369372,2991.5
1704561078,39.619153,-106.369357,2992.9
1704561079,39.619106,-106.369345,2994.2
1704561080,39.619057,-106.369338,2995.5
1704561081,39.619007,-106.369333,2996.9
1704561082,39.61896,-106.369312,2998.2
1704561083,39.618914,-106.369311,2999.5
1704561084,39.618868,-106.3693,3000.8
1704561085,39.618819,-106.36929,3002.2
1704561086,39.618771,-106.369281,3003.5
1704561087,39.618721,-106.369277,3004.9
1704561088,39.618674,-106.369268,3006.2
1704561089,39.61862,-106.369259,3007.7
1704561090,39.618568,-106.369245,3009.3
1704561091,39.618515,-106.369238,3010.9
1704561092,39.61847,-106.369224,3012.4
1704561093,39.618423,-106.369208,3014.0
1704561094,39.618379,-106.369195,3015.4
1704561095,39.618331,-106.369188,3017.0
1704561096,39.618283,-106.369179,3018.6
1704561097,39.618239,-106.369172,3020.0
1704561098,39.618193,-106.369164,3021.5
1704561099,39.618146,-106.369154,3022.9
1704561100,39.618088,-106.369141,3024.6
1704561101,39.618039,-106.369129,3026.0
1704561102,39.617994,-106.369121,3027.3
1704561103,39.617942,-106.369112,3028.8
1704561104,39.617892,-106.369099,3030.3
1704561105,39.617844,-106.369091,3031.7
1704561106,39.6178,-106.369078,3033.0
1704561107,39.61775,-106.369077,3034.6
1704561108,39.617703,-106.369065,3036.1
1704561109,39.617652,-106.369048,3037.7
1704561110,39.617605,-106.369039,3039.2
1704561111,39.617554,-106.369036,3040.9
1704561112,39.61751,-106.369029,3042.3
1704561113,39.61746,-106.369017,3043.9
1704561114,39.617415,-106.369009,3045.3
1704561115,39.617365,-106.369001,3046.9
1704561116,39.617315,-106.36899,3048.4
1704561117,39.617262,-106.368976,3050.0
1704561118,39.61722,-106.36896,3051.3
1704561119,39.617187,-106.368959,3052.2
1704561120,39.617129,-106.368947,3053.9
1704561121,39.617079,-106.368928,3055.4
1704561122,39.61703,-106.368916,3056.9
1704561123,39.616981,-106.36891,3058.3
1704561124,39.616927,-106.368914,3059.9
1704561125,39.616876,-106.368911,3061.4
1704561126,39.616829,-106.368894,3062.8
1704561127,39.616778,-106.368884,3064.2
1704561128,39.616734,-106.368874,3065.5
1704561129,39.616685,-106.368866,3066.9
1704561130,39.616635,-106.368855,3068.3
1704561131,39.61659,-106.368847,3069.4
1704561132,39.616538,-106.368837,3070.6
1704561133,39.616491,-106.368828,3071.7
1704561134,39.616441,-106.368817,3072.7
1704561135,39.61639,-106.368807,3073.7
1704561136,39.616341,-106.368799,3074.6
1704561137,39.616292,-106.36879,3075.4
1704561138,39.616243,-106.368774,3076.2
1704561139,39.616198,-106.368767,3076.9
1704561141,39.616097,-106.368753,3078.4
1704561142,39.616047,-106.368737,3079.1
1704561143,39.615994,-106.368722,3079.9
1704561144,39.615943,-106.368714,3080.7
1704561145,39.615894,-106.368711,3081.4
1704561146,39.615843,-106.3687,3082.2
1704561147,39.615792,-106.368686,3083.0
1704561148,39.615747,-106.368682,3083.7
1704561149,39.615701,-106.368669,3084.4
1704561150,39.615651,-106.368657,3085.3
1704561151,39.615599,-106.368644,3086.1
1704561152,39.615548,-106.368631,3087.0
1704561153,39.615496,-106.368618,3087.8
1704561154,39.615437,-106.368605,3088.7
1704561155,39.61539,-106.36859,3089.5
1704561156,39.615341,-106.368581,3090.2
1704561157,39.615289,-106.368568,3090.9
1704561158,39.615242,-106.368553,3091.6
1704561159,39.615194,-106.368541,3092.2
1704561160,39.615143,-106.368532,3092.9
1704561161,39.615092,-106.368529,3093.5
1704561162,39.615043,-106.368519,3094.2
1704561163,39.614992,-106.368515,3094.8
1704561164,39.614941,-106.368509,3095.5
1704561165,39.61489,-106.368495,3096.2
1704561166,39.614837,-106.368484,3096.9
1704561167,39.614786,-106.368475,3097.6
1704561168,39.614733,-106.368462,3098.3
1704561169,39.614703,-106.368455,3098.6
1704561170,39.614682,-106.368458,3098.6
1704561171,39.614679,-106.368463,3099.2
1704561172,39.614671,-106.368464,3099.2
1704561173,39.614672,-106.368481,3099.8
1704561174,39.614659,-106.368485,3099.8
1704561175,39.614654,-106.368482,3099.8
1704561176,39.614655,-106.368473,3099.8
1704561177,39.614654,-106.368486,3099.8
1704561178,39.614658,-106.368489,3099.8
1704561179,39.614657,-106.368496,3099.8
1704561180,39.614643,-106.368503,3100.3
1704561181,39.614639,-106.368506,3100.3
1704561182,39.614635,-106.368509,3100.3
1704561183,39.614631,-106.368512,3100.3
1704561184,39.614627,-106.368515,3100.9
1704561185,39.614623,-106.368518,3100.9
1704561186,39.614619,-106.36852,3100.9
1704561187,39.614615,-106.368523,3100.9
1704561188,39.614598,-106.368509,3100.9
1704561189,39.614585,-106.368501,3100.9
1704561190,39.614561,-106.368492,3101.5
1704561191,39.614555,-106.368483,3101.5
1704561192,39.614548,-106.368475,3102.2
1704561193,39.614537,-106.368464,3101.5
1704561194,39.614535,-106.368452,3101.5
1704561195,39.614531,-106.368436,3101.5
1704561196,39.614529,-106.368407,3100.8
1704561197,39.614527,-106.368396,3100.8
1704561198,39.614525,-106.368386,3100.8
1704561199,39.614528,-106.368364,3100.1
1704561200,39.614526,-106.368353,3100.1
1704561201,39.614533,-106.368348,3100.1
1704561202,39.614525,-106.368331,3099.4
1704561203,39.614516,-106.368313,3099.4
1704561204,39.61451,-106.368301,3100.0
1704561205,39.614512,-106.368289,3099.3
1704561206,39.614509,-106.368282,3099.3
1704561207,39.614505,-106.368277,3099.3
1704561208,39.614498,-106.36828,3099.3
1704561209,39.614494,-106.368258,3099.3
1704561210,39.61449,-106.368245,3098.6
1704561211,39.61448,-106.368223,3099.1
1704561212,39.614472,-106.368213,3099.1
1704561213,39.614464,-106.368204,3098.4
1704561214,39.614449,-106.368193,3098.8
1704561215,39.614442,-106.368188,3098.8
1704561216,39.614435,-106.368183,3098.8
1704561217,39.614428,-106.368178,3098.8
1704561218,39.614418,-106.368159,3098.0
1704561219,39.614414,-106.368153,3098.5
1704561220,39.614411,-106.368146,3098.5
1704561221,39.614408,-106.36814,3098.4
1704561222,39.614405,-106.368133,3098.4
1704561223,39.614406,-106.368133,3098.4
1704561224,39.614387,-106.368107,3097.6
1704561225,39.614385,-106.368097,3097.6
1704561226,39.614381,-106.36807,3097.2
1704561227,39.61438,-106.368061,3097.1
1704561228,39.614378,-106.368051,3097.1
1704561229,39.61436,-106.368029,3096.3
1704561230,39.614356,-106.368023,3096.3
1704561231,39.614352,-106.368017,3096.3
1704561232,39.614342,-106.367995,3095.8
1704561233,39.614337,-106.367984,3095.7
1704561234,39.614333,-106.367973,3095.7
1704561235,39.614328,-106.367948,3095.0
1704561236,39.614326,-106.367937,3095.0
1704561237,39.614325,-106.367925,3095.0
1704561238,39.614316,-106.367905,3094.5
1704561239,39.61431,-106.367895,3094.5
1704561240,39.614305,-106.367886,3094.5
1704561241,39.614301,-106.367868,3093.9
1704561242,39.614298,-106.367846,3093.9
1704561243,39.614291,-106.367828,3093.9
1704561244,39.614279,-106.367813,3093.6
1704561245,39.614265,-106.367798,3093.5
1704561246,39.614267,-106.367787,3093.5
1704561247,39.614269,-106.367776,3093.0
1704561248,39.61427,-106.367765,3093.0
1704561249,39.614275,-106.367744,3093.0
1704561250,39.614267,-106.367724,3092.5
1704561251,39.614269,-106.367727,3092.5
1704561252,39.614261,-106.367708,3092.5
1704561253,39.61426,-106.367705,3092.5
1704561254,39.614257,-106.367686,3092.0
1704561255,39.614251,-106.36767,3092.2
1704561257,39.614249,-106.367661,3092.2
1704561258,39.614247,-106.367651,3091.8
1704561259,39.614244,-106.367642,3091.8
1704561260,39.614233,-106.367627,3091.8
1704561261,39.614236,-106.367626,3091.8
1704561262,39.61423,-106.367613,3091.7
1704561263,39.614226,-106.367602,3091.4
1704561264,39.61422,-106.367574,3091.4
1704561265,39.614221,-106.367564,3091.0
1704561266,39.614223,-106.367553,3091.0
1704561267,39.614218,-106.367537,3091.3
1704561268,39.614217,-106.367509,3091.0
1704561269,39.61422,-106.367498,3090.7
1704561270,39.614219,-106.367484,3090.7
1704561271,39.61422,-106.367487,3090.7
1704561272,39.614216,-106.367463,3090.7
1704561273,39.614228,-106.367459,3090.3
1704561274,39.614234,-106.367434,3089.9
1704561275,39.614233,-106.367407,3089.9
1704561276,39.614232,-106.367396,3089.5
1704561277,39.614232,-106.367386,3089.5
1704561278,39.614225,-106.367387,3089.5
1704561279,39.614226,-106.367385,3089.5
1704561280,39.614231,-106.367348,3089.1
1704561281,39.614228,-106.36732,3089.1
1704561282,39.614226,-106.36731,3088.7
1704561283,39.614225,-106.3673,3088.7
1704561284,39.614222,-106.367286,3088.7
1704561285,39.614223,-106.36727,3088.7
1704561286,39.614224,-106.367256,3088.3
1704561287,39.614224,-106.367237,3088.3
1704561288,39.614226,-106.367217,3088.0
1704561289,39.614229,-106.367206,3088.0
1704561290,39.614232,-106.367192,3087.9
1704561291,39.614235,-106.367174,3087.6
1704561292,39.614237,-106.367163,3087.6
1704561293,39.614239,-106.367146,3087.6
1704561294,39.614248,-106.367134,3087.3
1704561295,39.614248,-106.367122,3087.3
1704561296,39.614251,-106.367109,3087.3
1704561297,39.614256,-106.367098,3086.8
1704561298,39.614259,-106.367084,3086.4
1704561299,39.614262,-106.367075,3086.4
1704561300,39.614266,-106.367062,3086.4
1704561301,39.614268,-106.367034,3086.0
1704561302,39.614269,-106.367024,3086.0
1704561303,39.61427,-106.367015,3086.0
1704561304,39.614278,-106.366992,3085.6
1704561305,39.614283,-106.366982,3085.6
1704561306,39.614287,-106.366972,3085.1
1704561307,39.614292,-106.366955,3084.7
1704561308,39.614304,-106.366945,3084.7
1704561309,39.614309,-106.36694,3084.7
1704561310,39.614316,-106.366921,3084.2
1704561311,39.614318,-106.366913,3083.7
1704561312,39.61432,-106.366905,3083.7
1704561313,39.614322,-106.366896,3083.7
1704561314,39.614337,-106.366865,3083.2
1704561315,39.614339,-106.366856,3083.2
1704561316,39.614342,-106.36684,3083.2
1704561317,39.614349,-106.366834,3082.7
1704561318,39.614352,-106.366814,3082.1
1704561319,39.614358,-106.366802,3082.1
1704561320,39.614361,-106.366792,3081.6
1704561321,39.614364,-106.366786,3081.6
1704561322,39.614369,-106.366775,3081.6
1704561323,39.614362,-106.366771,3081.6
1704561324,39.614361,-106.366767,3081.6
1704561325,39.61436,-106.366764,3081.6
1704561326,39.614361,-106.366759,3081.6
1704561327,39.614365,-106.366752,3081.3
1704561328,39.614359,-106.366761,3081.5
1704561329,39.614361,-106.366766,3081.5
1704561330,39.614353,-106.366755,3081.5
1704561331,39.614354,-106.366754,3081.5
1704561332,39.614354,-106.36676,3081.5
1704561333,39.614353,-106.366758,3081.5
1704561334,39.614357,-106.36675,3081.2
1704561335,39.614359,-106.366742,3081.2
1704561336,39.614358,-106.366747,3081.2
1704561337,39.614363,-106.366746,3081.2
1704561338,39.614366,-106.366747,3081.2
1704561339,39.614371,-106.366761,3081.5
1704561340,39.614371,-106.366759,3081.4
1704561341,39.614371,-106.366759,3081.4
